Sex_female,Pclass,SibSp,Parch,Embarked_C,Embarked_Q,Embarked_S,Age
0,3,1,1,0,0,1,4
0,3,0,0,0,0,1,26
1,1,1,1,0,0,1,47
0,1,0,0,0,0,1,33
0,3,0,0,0,0,1,47
1,2,1,0,1,0,0,28
1,3,0,0,1,0,0,15
0,3,0,0,0,0,1,20
0,3,0,0,0,0,1,19
0,3,0,0,0,0,1,30
1,1,0,1,1,0,0,56
1,2,0,1,0,0,1,25
0,3,0,0,0,0,1,33
1,3,0,0,0,0,1,22
0,2,0,0,0,0,1,28
0,3,0,0,0,0,1,25
1,3,0,5,0,1,0,39
0,2,0,0,0,0,1,27
1,1,0,0,0,0,1,19
1,3,1,2,0,0,1,30
0,1,0,0,1,0,0,26
0,3,0,0,0,1,0,32
